"alpha","R_x","rho","d","Model","R_g","R_c","sMSE_M","sMSE_grad","sMSE_curl","Accuracy_M","Accuracy_grad","Accuracy_curl","CP_M","CP_grad","CP_curl","CIL_M","CIL_grad","CIL_curl","sMSE_M.miss","sMSE_grad.miss","sMSE_curl.miss","Accuracy_M.miss","Accuracy_grad.miss","Accuracy_curl.miss","CP_M.miss","CP_grad.miss","CP_curl.miss","CIL_M.miss","CIL_grad.miss","CIL_curl.miss","Time"
1,0.3,0.5,0,"BIBT",0.401421800549727,0.598578199450273,0.622786676710821,0.116678390099277,0.506108286611545,0.736442105263158,0.828784210526316,0.65338947368421,0.920221052631579,0.933278947368421,0.91068947368421,2.60580979895745,1.26213901638379,2.37151868778876,1.03436716711662,0.130857200164562,0.774435276007915,0.6076,0.817652631578947,0.506347368421053,0.903357894736842,0.933673684210526,0.897463157894737,3.50630024648985,1.34144143869486,2.99278629489514,7.99151215553284
1,0.3,0.6,0,"BIBT",0.391583196323728,0.608416803676272,0.544571296751729,0.0911543465015506,0.453416950250179,0.76228947368421,0.848984210526316,0.68611052631579,0.91858947368421,0.928863157894737,0.909831578947368,2.38672738711012,1.09541312535998,2.19983332573815,1.04272777305595,0.104704967378754,0.794157320684224,0.60875,0.836934210526316,0.506486842105263,0.894171052631579,0.929157894736842,0.890447368421053,3.42507032715848,1.17571289401777,2.9579871738046,8.24095672774315
1,0.3,0.7,0,"BIBT",0.389814145890278,0.610185854109722,0.464058117797755,0.0699286653288899,0.394129452468865,0.788047368421053,0.868068421052632,0.719942105263158,0.918115789473684,0.927710526315789,0.910052631578947,2.18150600164486,0.950939735478891,2.02595468046458,1.04880429013828,0.0824979548934016,0.810322513535556,0.611719298245614,0.856824561403509,0.505964912280702,0.885964912280702,0.92678947368421,0.883350877192982,3.3468628199348,1.03262694373415,2.91632881970005,8.50602125310898
1,0.3,0.8,0,"BIBT",0.391566027472643,0.608433972527357,0.384370041682224,0.0526652175116547,0.33170482417057,0.813484210526316,0.886536842105263,0.754205263157895,0.918173684210526,0.927252631578947,0.91078947368421,1.99032303538649,0.824080131915593,1.85560282493944,1.05792908543323,0.0654494836490242,0.824452445064194,0.615552631578947,0.873026315789474,0.508526315789474,0.877052631578947,0.922921052631579,0.874842105263158,3.26938581714187,0.907437581665317,2.86810521428036,8.6999197845459
1,0.3,0.9,0,"BIBT",0.395194388861892,0.604805611138108,0.303229630029567,0.0369911062529495,0.266238523776618,0.837421052631579,0.905363157894737,0.787368421052632,0.919610526315789,0.9357,0.913031578947368,1.81384946039045,0.709635666671311,1.69257145021383,1.06478815088037,0.0488466948765553,0.84113314899651,0.614894736842105,0.889842105263158,0.508368421052632,0.868315789473684,0.927526315789474,0.866368421052632,3.19685357414091,0.796498999507206,2.82009357101284,9.06200216007233
1,0.3,1,0,"BIBT",0.400805001453418,0.599194998546582,0.222372419612996,0.0240765793209333,0.198295840292062,0.861163157894737,0.9243,0.820873684210526,0.919989473684211,0.947868421052632,0.91518947368421,1.64727783354651,0.603791780553374,1.53441922909804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24567628240585
1,0.3,0.5,3,"CA-BIBT",0.392124104031554,0.607875895968446,0.564392983745659,0.100739554677895,0.463653429067765,0.755321052631579,0.840226315789474,0.68621052631579,0.918557894736842,0.927521052631579,0.909452631578947,2.46652955159202,1.14575457973656,2.25255241379559,0.923120821780366,0.112473894456556,0.704825832854418,0.64518947368421,0.830831578947368,0.565263157894737,0.900673684210526,0.927147368421053,0.893536842105263,3.25716242361667,1.20915557168824,2.81097917790456,8.03225627398491
1,0.3,0.6,3,"CA-BIBT",0.385958325749816,0.614041674250184,0.492876682314398,0.0784315093888599,0.414445172925538,0.777968421052632,0.860252631578947,0.713163157894737,0.916321052631579,0.921957894736842,0.908431578947368,2.25802283620219,0.98802433019163,2.08697241798889,0.922435750430769,0.0892483657504339,0.716273291072732,0.647434210526316,0.849907894736842,0.564671052631579,0.89175,0.919947368421053,0.886815789473684,3.15487599231318,1.05013798774193,2.75685515252743,8.22037773060799
1,0.3,0.7,3,"CA-BIBT",0.386521601070733,0.613478398929267,0.422825393624236,0.061046150648452,0.361779242975784,0.80018947368421,0.878031578947368,0.739968421052632,0.915142105263158,0.916989473684211,0.907484210526316,2.06993391128714,0.857126901784268,1.92746071898435,0.926160962135253,0.071107506909383,0.727220008454216,0.649543859649123,0.867771929824561,0.562543859649123,0.880543859649123,0.915280701754386,0.878017543859649,3.06341681656451,0.91871862498216,2.70162954509457,8.37288492774963
1,0.3,0.8,3,"CA-BIBT",0.388778463010567,0.611221536989433,0.352676095780876,0.0463441195472112,0.306331976233665,0.821452631578947,0.894257894736842,0.766715789473684,0.915052631578947,0.917321052631579,0.909621052631579,1.89997814414681,0.745338867434639,1.7770753311375,0.925485444947544,0.0560963890673316,0.733914059711722,0.649973684210526,0.882026315789474,0.563552631578947,0.8715,0.911921052631579,0.870342105263158,2.98216348556815,0.807190081809057,2.64915337565162,8.59172325396538
1,0.3,0.9,3,"CA-BIBT",0.392143671809927,0.607856328190073,0.282982174669172,0.0338622441453517,0.24911993052382,0.84221052631579,0.909357894736842,0.795173684210526,0.915642105263158,0.921747368421053,0.910515789473684,1.74515704678868,0.647597662061441,1.63581574528439,0.924004953245331,0.0431863689828824,0.740500518217595,0.649578947368421,0.899052631578947,0.564684210526316,0.863473684210526,0.914157894736842,0.863473684210526,2.90866288333967,0.710590432707353,2.59908705817472,8.81082886219025
1,0.3,1,3,"CA-BIBT",0.39740877662513,0.60259122337487,0.216002069595169,0.023690875301347,0.192311194293822,0.862542105263158,0.924184210526316,0.822657894736842,0.915305263157895,0.929815789473684,0.912094736842105,1.59876275974729,0.559713314820487,1.49854848049146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0142167904377
1,0.3,0.5,7,"CA-BIBT",0.377389720207292,0.622610279792708,0.478119463585848,0.0761734258012992,0.401946037784548,0.77991052631579,0.864742105263158,0.723026315789474,0.9155,0.923294736842105,0.908426315789474,2.27849352205738,0.977880760560107,2.10169905618086,0.758715618335558,0.0834549088585036,0.599048254946445,0.692157894736842,0.857842105263158,0.630221052631579,0.898978947368421,0.921894736842105,0.894494736842105,2.93342623646808,1.01995667895216,2.58970308058268,7.7612288506031
1,0.3,0.6,7,"CA-BIBT",0.376008226746029,0.623991773253971,0.414242775877145,0.0585070669806151,0.35573570889653,0.799736842105263,0.881789473684211,0.745431578947368,0.913747368421053,0.918731578947368,0.908263157894737,2.09185962962666,0.842259106872929,1.94964277586711,0.739564134940404,0.0651977560461721,0.59355100052535,0.697473684210526,0.875947368421053,0.633578947368421,0.891342105263158,0.916513157894737,0.889144736842105,2.82495671054733,0.882776850383437,2.52241558418754,8.01806454658508
1,0.3,0.7,7,"CA-BIBT",0.37899450180942,0.62100549819058,0.356548374593958,0.045074092505856,0.311474282088102,0.816378947368421,0.896084210526316,0.765742105263158,0.911921052631579,0.915894736842105,0.90631052631579,1.92387821211954,0.731927090668345,1.80486395662653,0.728631132011633,0.0510697644063355,0.592726544304743,0.699105263157895,0.889315789473684,0.63321052631579,0.882684210526316,0.912438596491228,0.879052631578947,2.72201760379683,0.771135321431346,2.45050291026964,8.24549505782127
1,0.3,0.8,7,"CA-BIBT",0.383493495203707,0.616506504796293,0.301935688927066,0.0343368341958602,0.267598854731206,0.83398947368421,0.909631578947368,0.786226315789474,0.911268421052632,0.916084210526316,0.9068,1.77612847051218,0.640190883824665,1.67348256417807,0.718416709679073,0.0398745201692358,0.590623484550561,0.70178947368421,0.901947368421053,0.633473684210526,0.873631578947368,0.910236842105263,0.872210526315789,2.63165313421954,0.678357088254225,2.38506640522085,8.50871938323975
1,0.3,0.9,7,"CA-BIBT",0.388270268889266,0.611729731110734,0.249175886162084,0.0255953666901047,0.22358051947198,0.850652631578947,0.92268947368421,0.806931578947368,0.911826315789474,0.921168421052632,0.908368421052632,1.64636538855037,0.562803066640196,1.55546591209661,0.699044242360476,0.0305090680555753,0.582032140063032,0.707,0.915,0.634473684210526,0.870526315789474,0.912263157894737,0.868105263157895,2.55695432801982,0.600528569325381,2.32988754138286,8.74844144034386
