"alpha","R_x","Model","R_g","R_c","sMSE_M","sMSE_grad","sMSE_curl","sMSE_cov","Accuracy_M","Accuracy_grad","Accuracy_curl","Accuracy_cov","CP_M","CP_grad","CP_curl","CP_cov","CIL_M","CIL_grad","CIL_curl","CIL_cov","Time"
1,0.1,"BBT",1,0,0.563507302932188,0.0200226288798219,NA,NA,0.736574712643678,0.945310344827586,NA,NA,0.243287356321839,0.898574712643678,NA,NA,0.463422532957733,0.463422532957733,NA,NA,15.3642625594139
1,0.2,"BBT",1,0,0.607660981321825,0.0211085667349199,NA,NA,0.722045977011494,0.939747126436782,NA,NA,0.236229885057471,0.88816091954023,NA,NA,0.460912369071698,0.460912369071698,NA,NA,15.830200304985
1,0.3,"BBT",1,0,0.650017685047261,0.0202008018507671,NA,NA,0.707172413793103,0.936091954022989,NA,NA,0.226068965517241,0.892873563218391,NA,NA,0.458253020491769,0.458253020491769,NA,NA,15.8820062327385
1,0.4,"BBT",1,0,0.694347288661268,0.0213123856228225,NA,NA,0.693747126436782,0.929402298850575,NA,NA,0.21951724137931,0.881287356321839,NA,NA,0.455038021046467,0.455038021046467,NA,NA,15.4719799232483
1,0.5,"BBT",1,0,0.736989189714779,0.0206496440214711,NA,NA,0.67583908045977,0.923908045977011,NA,NA,0.210367816091954,0.883954022988506,NA,NA,0.452317374439645,0.452317374439645,NA,NA,15.9138930487633
1,0.6,"BBT",1,0,0.780728832852453,0.0195063839018215,NA,NA,0.65967816091954,0.920252873563218,NA,NA,0.202137931034483,0.893310344827586,NA,NA,0.448977128537344,0.448977128537344,NA,NA,15.4642474842072
1,0.7,"BBT",1,0,0.822473905747805,0.0182210852288232,NA,NA,0.645816091954023,0.913379310344828,NA,NA,0.198206896551724,0.902735632183908,NA,NA,0.445710146035859,0.445710146035859,NA,NA,15.7601621556282
1,0.8,"BBT",1,0,0.862740114704649,0.0176137078522295,NA,NA,0.625747126436782,0.901264367816092,NA,NA,0.188413793103448,0.906689655172414,NA,NA,0.441677937931478,0.441677937931478,NA,NA,15.8830096554756
1,0.9,"BBT",1,0,0.904711694299177,0.0160865875251164,NA,NA,0.603448275862069,0.880022988505747,NA,NA,0.183287356321839,0.915333333333333,NA,NA,0.437539632343817,0.437539632343817,NA,NA,15.6289114713669
1,0.1,"BIBT",0.477871014646272,0.522128985353728,0.212448516001371,0.015603918905142,0.196844597096229,NA,0.862298850574713,0.94551724137931,0.807241379310345,NA,0.914988505747126,0.953080459770115,0.910367816091954,NA,1.59048235887434,0.496316562826987,1.51205496873464,NA,93.6593411779404
1,0.2,"BIBT",0.435716919301979,0.564283080698021,0.21798908937633,0.0168192299074225,0.201169859468908,NA,0.86216091954023,0.939885057471264,0.812436781609195,NA,0.915287356321839,0.94232183908046,0.91151724137931,NA,1.60694511969552,0.495673001436319,1.52967437030179,NA,91.325017592907
1,0.3,"BIBT",0.389945018902178,0.610054981097822,0.223612038949711,0.0159844201957149,0.207627618753996,NA,0.858942528735632,0.935632183908046,0.820183908045977,NA,0.916620689655172,0.94832183908046,0.912988505747126,NA,1.62873421228642,0.494982688140697,1.55281799021718,NA,88.3657047653198
